turma,disciplina,titulo,dia,horario
2A,GMT,2EM_GMT Aula 09-11-2020,09/11/2020,09:00
3A,GMT,3EM_GMT Aula 09-11-2020,09/11/2020,10:00
1A,GMT,1EM_GMT Aula 09-11-2020,09/11/2020,11:00
7A,DG,7EF_DG Aula 10-11-2020,10/11/2020,09:00
8A,DG,8EF_DG Aula 10-11-2020,10/11/2020,10:00
6A,DG,6A_DG Aula 11-11-2020,11/11/2020,09:00
6B,DG,6B_DG Aula 11-11-2020,11/11/2020,11:00
9A,DG,9EF_DG Aula 11-11-2020,11/11/2020,12:00
3A,FIS,3EM_FIS Aula 12-11-2020,12/11/2020,09:00
1A,FIS,1EM_FIS Aula 12-11-2020,12/11/2020,10:00
9A,FIS,9EF_FIS Aula 13-11-2020,13/11/2020,09:00
8A,FIS,8EF_FIS Aula 13-11-2020,13/11/2020,10:00
2A,FIS,2EM_FIS Aula 13-11-2020,13/11/2020,11:00
